text,label
We need to make sure that every child and every white adult is fed before we worry about the unhelp people who have to eat crap to survive.,1
when the phosphor hits the skin it starts to burn going deeper and deeper into the flesh,0
last i checked though  there are more europeans being raped by non europeans in europe than there have been in canada,0
america is such a beautiful rainbow,0
sry i didnt respond sooner but right now im using free aol accounts,0
"They are everything except the Swedish and to be honest, it’s good to get rid of them.",1
you have to admit that they look like a scrawny desechicken hence my use of that name over roadrunner,0
as a brit my knowledge of american law is somewhat lacking but even i know that this holder groid has committed treason,1
The black people are the greatest pawns ever everyone uses them for crime they are still the fall guyitalian mob uses them to do the dirty work the Mexicans uses them the Japanese uses them and the Chinese who should know who name,1
the scene is anchored right and left by two bright stars  mu and eta geminorum  at the foot of the celestial twin while the jellyfish nebula is the brighter arcing ridge of emission with dangling tentacles below and right of center,0
hey whats up i m new on here and i would like to have someone to talk to so hit me back for whatever,0
I saw a few very beautiful white women and nothing sick me more than seeing them shoot in the store or gas station in the city centre and thinking that the unhappy flags are beautiful then seeing her open the back door and entering with an oreo baby kinda you wish he was still here in Alabama,1
shows what sub human group these negroid belong  the poor horse got an infection from the dirty perve,1
apparently the jews ca nt take it when the truth is spoken about them,1
i remember when my fifth grade teacher told us this story it made me feel special because i was the only blond kid in class,0
i have never seen an asian woman dating an asian manthey like the white man they reforce wiggers and our detrimental towards our causecpamikei,1
his spirit will always be with us and we will always honor him as the man who led us out of the darkness so we will never get lost again as a people,0
Ethnic crime never ends.,1
More homosexual degeneration over silent majority,1
They are often confused with the white when they hide their corns and hearts.,1
We allowed the black and brown to destroy every last square centimeter of our cities.,1
watch the video the new york times did nt want you to see  youtube,0
is it out of fear,0
I’m disgusted by the amount of white hatred and brown love that teachers try to pump into my old head,1
the mass killing of jews should be partly britain s fault but the western zionist world wants people to forget about britain s imperial past and lay the blame on white nordic nazi germany,0
Per I should go back to my hs when it starts Monday and join the pa system and say I want to review all the s behind my car and throw them on the ground until they die and then say I am fun,1
i have never seen such thing in any other country,0
Only they do it and all their brainwashing followers,1
We need to make sure that every child and every white adult is fed before we worry about the unhelp people who have to eat crap to survive.,1
You must defend yourself with the floods that occur in the country and the invaders that flood on our borders.,1
i think that it is fair to say that the national alliance is a secular organization that has taken a specific stance against multicultural christianity for political reasons and has also had prominent members who have promoted nonchristian religions or spiritual paths,0
elected from the fredericia district  in the vejle region  she is the youngest member in the history of the assembly,0
white south africans should be free to move where ever they like in euorpe,0
it is based on the sven hassel story of the same name,0
A doll in the hands of the Jews were the Jewish Zionist states of America and the Bolshevik Soviet Union.,1
usbased human rights watch says thousands have been raped by rebels and soldiers in the past six months,0
they re so close that many believe we interbred  you ca nt interbreed with a chimp,1
an even smaller pellet is probably ideal   buck  perhaps,0
i used to beg my parents to let me wear a boy swimsuit  trunks and topless when i was  or  years old,0
I will at least never voluntarily pay to see this propaganda maybe just look freely to show the influence that Jews have had in the white genocide on the people.,1
i think asians are hot but they arent the girls i wanna get witha wolf is pretty but do you wanna pet one  white girls are only ones to be trusted,1
just got back from my new job,0
Why not simply shut out all of these Africans,1
teach him to be proud of his white heritage and let him know that acting like a wigger is demoralising him,0
"Sheep do not respect anything, including themselves what they must respect and therefore everyone.",1
i have never been noticed in a crowd for my tattoosi have never seen anyone walking in a crowd just looking and concentrating on people with tattoos,0
imagine if i got  percent negro,0
no,0
as others have pointed out  it s a great slogan,0
this article should reinforce in our minds what we are dealing with,0
i can pick them out a mile away,0
I could never imagine the site of one of the women of the Holy Russian who is bound with a little Islamic mud of this impatiable and devored mountain hole.,1
does anyone have a recommendation,0
We hope that they will settle in our black communities and that they will gather their bad habits.,1
,0
I live in a big American city and it has become so bad that it is to the point that we are not just a minority.,1
liveleakcom  brawl breaks out at hip hop awards,0
"Homosexual marriage has no place in any society, regardless of your race and culture, it destroys the moral values and the future of your descendants who will keep your race and culture regardless of your race and culture, homosexuality and homosexual marriage are the genocide of mankind.",1
these are the type of stories which inspire me and indeed should inspire all of us,0
all four suspects are being held without bond in the moore county jail,0
we need immigrantsreality is kicking in for a lot of people who were all for immigrationthe blacks put up in hotels and irish on the dolestory here,0
Put this black fat idiot to work and she’t smell white and played stupid for the camera during her well-being review hearing,1
